KEY_INDEX,CDL_FLAG,CONDITION_CODE,EQUIP_PROB_CODE,FAULT_FLAG,INJ_SEVER_CODE,PERSON_ID,PERSON_TYPE,REPORT_NO,SAF_EQUIP_CODE,SEX_CODE,VEHICLE_ID,COLLISION_TYPE_CODE,C_M_ZONE_FLAG,JUNCTION_CODE,LANE_CODE,LIGHT_CODE,RD_COND_CODE,RD_DIV_CODE,SURF_COND_CODE,WEATHER_CODE,AREA_DAMAGED_CODE_MAIN,BODY_TYPE_CODE,DAMAGE_CODE,HIT_AND_RUN_FLAG,MOVEMENT_CODE,TIME,AGE,LATITUDE,LONGITUDE,cluster,second_label,first_label,second_labeling
14,N,Apparently Normal,No Misuse,N,No Injury,3426f3ab-c9b7-40e6-9b63-6199f7e4c31b,D,AE27810005,Shoulder/Lap Belt(s),M,153e0a19-4b00-4c5a-8799-611b58a1fc02,Same Direction Rear End,N,Non Intersection,Left Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Ice,Wintry Mix,Seven o'clock,(Sport) Utility Vehicle,Disabling,N,Moving Constant Speed,2015.1.30 11:20,67,39.45435404,-76.64663315,0,3,눈길사고,자차 사고
17,N,Apparently Normal,No Misuse,Y,Possible Incapacitating Injury,43c769ce-68d6-4dea-9770-d671c95d80e2,D,AE5254000J,Shoulder/Lap Belt(s),F,e03cc619-798b-4232-8cdf-9aa33ab033fc,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Snow,Snow,Twelve o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015.2.21 13:00,24,39.4754483,-76.61450833,0,3,눈길사고,자차 사고
18,N,Apparently Normal,No Misuse,N,No Injury,da932de9-be10-43b0-b098-10a8960bbd7a,D,AE5254000J,Shoulder/Lap Belt(s),M,7b0757e3-8f7b-41fa-bd28-f31ec4093ebf,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Snow,Snow,Six o'clock,"Cargo Van/Light Truck 2 axles (10,000 lbs (4,536 kg) or less)",Superficial,N,Slowing or Stopping,2015.2.21 13:00,25,39.4754483,-76.61450833,0,1,눈길사고,등속 주행 사고
23,N,Apparently Normal,No Misuse,Y,No Injury,cd110695-2804-45c5-b547-fbcc9c116185,D,CBWR96740005,Shoulder/Lap Belt(s),M,ff75fd0b-a36d-4d87-96a7-9ca4e2c396c9,Same Movement Angle,N,Intersection,Right Turn Lane,Dawn,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Snow,Snow,Twelve o'clock,Passenger Car,Disabling,N,Slowing or Stopping,2015.1.6 6:01,28,39.44623518,-76.60710812,0,1,눈길사고,등속 주행 사고
35,N,Apparently Normal,No Misuse,Y,Non-incapacitating Injury,2eb4c7f8-9215-43d4-b2cb-90e87830f487,D,MSP5679006G,Shoulder/Lap Belt(s),F,888ad113-c3c1-4593-b209-5db8fa9211d9,Same Direction Sideswipe,N,Non Intersection,Right Turn Lane,Dark No Lights,No Defects,One-way Trafficway,Ice,Raining,Twelve o'clock,Passenger Car,Disabling,N,Skidding,2015.3.1 18:17,22,39.32518417,-76.47819167,0,2,눈길사고,미끌어짐에 의한 사고
38,N,Apparently Normal,No Misuse,N,No Injury,bfc9e08e-d8a2-41b2-9738-a4cedd71541a,D,ZJ0466000L,Shoulder/Lap Belt(s),M,ad4fa080-3815-4d48-a86f-157e3ecea931,Opposite Direction Sideswipe,N,Non Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Divided, Positive Median Barrier",Snow,Cloudy,Eight o'clock,Pickup Truck,Functional,N,Moving Constant Speed,2015.3.5 19:32,48,39.40004017,-77.3468815,0,0,눈길사고,감속 중 사고
77,N,Apparently Normal,No Misuse,Y,No Injury,804e6b57-351e-443b-a06e-aeba7c1badc0,D,AB48900004,Shoulder/Lap Belt(s),F,a7fd99ac-197c-4e53-87ce-f3e4eb5911e6,Single Vehicle ,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Ice,Wintry Mix,Roof Top,Passenger Car,Disabling,N,Slowing or Stopping,2015.2.22 8:53,54,38.98741788,-76.52555823,0,1,눈길사고,등속 주행 사고
92,N,Apparently Normal,No Misuse,N,No Injury,2b87389e-8dc6-4192-92a1-daacbf4bbc24,D,AC0985000N,Shoulder/Lap Belt(s),F,8cd8a8ab-cb04-45a1-a0db-87ad2e90f36d,Same Direction Sideswipe,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Ice,Snow,Eleven o'clock,Passenger Car,Disabling,N,Slowing or Stopping,2015.2.15 11:10,60,39.07924333,-76.70262667,0,1,눈길사고,등속 주행 사고
93,N,Apparently Normal,No Misuse,Y,No Injury,d660738a-45c0-4742-b04f-278165b29165,D,AC0985000N,Shoulder/Lap Belt(s),F,08a1b1e5-b1dd-4120-9e71-4fc546263af5,Same Direction Sideswipe,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Ice,Snow,One o'clock,(Sport) Utility Vehicle,Disabling,N,Slowing or Stopping,2015.2.15 11:10,18,39.07924333,-76.70262667,0,1,눈길사고,등속 주행 사고
105,N,Apparently Normal,No Misuse,Y,No Injury,e3486618-4b1c-4e56-9005-caef1e7477b1,D,AC1075000P,Shoulder/Lap Belt(s),F,abd1e91b-8ca7-4e65-b2ee-bc4fe64dc702,Single Vehicle ,N,Non Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Divided, Positive Median Barrier",Snow,Snow,Twelve o'clock,Passenger Car,Functional,N,Moving Constant Speed,2015.1.6 6:28,45,39.1668491,-76.6400989,0,0,눈길사고,감속 중 사고
